company,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
ESSA Bancorp Inc ,0.017202124968378446,0.0,0.0,0.0,0.0050594485201113076,0.0,0.0,0.0,0.10220086010624843,0.0,0.0,0.0,0.01543131798633949,0.0,0.01264862130027827,0.09435871490007589,0.03566911206678472,0.5003794586390083,0.0,0.015178345560333923,0.02732102200860106,0.03845180875284594,0.004806476094105743,0.026562104730584367,0.0,0.007336200354161397,0.013913483430306097,0.01593726283835062,0.0,0.0,0.0043005312420946115,0.04047558816089046,0.011636731596256009,0.011130786744244878,0.0
EVINE Live Inc ,0.012960271317829458,0.0012112403100775194,0.008963178294573644,0.04469476744186047,0.021802325581395353,0.028585271317829456,0.0,0.0,0.02543604651162791,0.007630813953488372,0.0188953488372093,0.0,0.005208333333333334,0.0,0.027374031007751938,0.006419573643410853,0.050024224806201556,0.4889777131782943,0.006782945736434108,0.006904069767441861,0.011022286821705425,0.04517926356589147,0.0,0.0,0.0,0.003633720930232558,0.028464147286821707,0.018895348837209305,0.021317829457364344,0.0,0.023498062015503876,0.03064437984496124,0.010901162790697675,0.011143410852713179,0.03343023255813953
EZCORP Inc ,0.010145215834493734,0.0,0.0,0.0,0.011736622239904515,0.010741993236522777,0.0,0.0,0.028446389496717725,0.0391883827332405,0.0,0.0,0.0,0.0,0.022478615476427294,0.008155957827730256,0.10423711955440619,0.5295404814004382,0.0,0.09011338770638554,0.0,0.007161328824348518,0.0,0.014919435050726078,0.0,0.0,0.033021682912273725,0.03481201511836085,0.003978516013526954,0.0,0.009946290033817386,0.018301173662223988,0.023075392878456332,0.0,0.0
Envestnet Inc,0.025054398507926644,0.00944979794839913,0.01293130245570407,0.0050979173142679515,0.00845508237488343,0.023686664594342557,0.0,0.002113770593720858,0.01224743549891203,0.016412806963009015,0.030214485545539318,0.0,0.008641591544917625,0.0,0.02567609574137395,0.007833385141436121,0.03369599005284426,0.49381411252719887,0.010133664905191173,0.04818153559216662,0.018153559216661487,0.026297792974821262,0.00609263288778365,0.011439229095430527,0.0,0.004103201740752254,0.001616412806963009,0.012931302455704072,0.019334783960211373,0.0,0.021448554553932235,0.03033882499222879,0.05321728318308984,0.020205160087037613,0.0011812247435498912
EnviroStarm Inc ,0.0040650406504065045,0.0,0.0,0.017228029423151374,0.007936507936507936,0.06504065040650406,0.0,0.0,0.06891211769260551,0.07820363917924893,0.0,0.0,0.01064653503677894,0.0,0.006775067750677507,0.0,0.022841656987998452,0.5048393341076268,0.006968641114982578,0.029616724738675958,0.006000774293457221,0.0402632597754549,0.0,0.012969415408439799,0.0,0.0,0.038327526132404185,0.025938830816879595,0.008130081300813009,0.0,0.028068137824235385,0.0009678668215253581,0.010452961672473868,0.0,0.005807200929152149
Enviva Partners LP,0.024121470647978874,0.0,0.016301035953686774,0.0159963436928702,0.0072618322161283775,0.004316473694901483,0.0,0.0,0.03377005890717043,0.014625228519195614,0.001218769043266301,0.0004062563477554337,0.010004062563477554,0.0,0.015590087345114766,0.03498882795043673,0.04326630103595369,0.5006093845216332,0.0,0.04489132642697541,0.004976640260004063,0.03453178955921185,0.0011172049563274427,0.016504164127564495,0.0,0.005941499085923218,0.02315661182205972,0.013101767215112735,0.006195409303270364,0.0,0.022242535039609997,0.08795449928905136,0.004316473694901483,0.005484460694698354,0.00710948608572009
Epizyme Inc ,0.002152521525215252,0.047091899490423465,0.007819363907924794,0.008434370057986293,0.014891934633632049,0.006589351607801793,0.04704797047970479,0.0,0.01515550869794412,0.014672289580038658,0.011333684765419082,0.0,0.007907221929362152,0.0,0.010674749604638904,0.0,0.006281848532771041,0.2372605868915831,0.015331224740818838,0.007467931822175365,0.004305043050430504,0.005359339307678792,0.0,0.10050957652433669,0.03496749253206817,0.012651555086979441,0.0028114566859954314,0.003953610964681075,0.04274292742927429,0.08478299068704975,0.028773502020734493,0.00887366016517308,0.0007028641714988579,0.0038218239325250396,0.2056316991741346
Equifax Inc ,0.0038901601830663617,0.0,0.007322654462242563,0.0,0.015560640732265445,0.028375286041189933,0.0,0.0,0.030434782608695653,0.0,0.02780320366132723,0.0,0.02608695652173913,0.0,0.02505720823798627,0.0374141876430206,0.05217391304347826,0.44576659038901645,0.025514874141876427,0.009267734553775744,0.006750572082379862,0.05663615560640732,0.0011441647597254005,0.005148741418764302,0.0,0.004691075514874142,0.02665903890160183,0.028832951945080093,0.013958810068649885,0.0,0.060526315789473685,0.014988558352402747,0.010183066361556064,0.03398169336384439,0.0018306636155606408
Equillium Inc ,0.039283252929014474,0.019756489777165175,0.0,0.025269928784746154,0.00895933838731909,0.007580978635423846,0.0,0.0,0.050999310820124044,0.05536411670112566,0.0,0.0,0.028256374913852515,0.0,0.03974270617964622,0.025499655410062026,0.06294509533654952,0.37468412589019046,0.0,0.00781070526073972,0.045026418561911336,0.038364346427750974,0.0,0.0,0.0,0.018837583275901678,0.010337698139214334,0.010567424764530209,0.006202618883528601,0.0,0.04318860555938433,0.025959108660693772,0.023891569032850907,0.026418561911325522,0.00505398575694923
Equinix Inc ,0.010254907705830648,0.0,0.009668912979783182,0.018107237034866684,0.008379724582478758,0.03252270729563434,0.0,0.0,0.06715499560503956,0.030354526809258715,0.0043949604453559915,0.0,0.014532669205977145,0.0,0.035452680925871664,0.02566656900087899,0.03181951362437738,0.4917081746264288,0.010899501904482859,0.015763258130676826,0.019044828596542634,0.027014356870788167,0.002519777322004102,0.008203926164664518,0.0,0.013009082918253737,0.012657486082625256,0.01869323176091415,0.005742748315265162,0.0,0.0033401699384705535,0.06879578083797247,0.008203926164664518,0.004570758863170232,0.0015235862877234106
Equity Commonwealth,0.027554383651944625,0.0,0.005603164139749505,0.00988793671720501,0.0025049439683586024,0.033553065260382334,0.0,0.0,0.054515491100856954,0.007712590639419908,0.0,0.0,0.0,0.0,0.03005932762030323,0.04166117336849044,0.04423203691496374,0.37890573500329583,0.02175346077785102,0.016018457481872115,0.02788398154251813,0.059393539881344756,0.015227422544495713,0.0040210942649967045,0.0,0.05405405405405406,0.02076466710613052,0.01891891891891892,0.020435069215557024,0.0,0.0012524719841793012,0.0802900461437047,0.023796967699406722,0.0,0.0
Equity Lifestyle Properties Inc ,0.024853639677454988,0.0,0.002430133657351154,0.023859494090356786,0.008063625317574284,0.008284546559151663,0.0,0.0,0.09068816966751353,0.04042858720866011,0.0,0.0,0.002209212415773777,0.0,0.02816745830111565,0.04727714569755882,0.03634154423947863,0.37181044957472614,0.024080415331934165,0.012702971390699216,0.0,0.07224124599580249,0.004970727935490998,0.002209212415773777,0.0,0.015464486910416436,0.019220148017231854,0.04330056334916601,0.011156522699657574,0.0,0.0,0.07367723406605546,0.02507456091903236,0.01148790456202364,0.0
Equity Residential,0.019025998594670555,0.0,0.013999243284146803,0.004702448516296417,0.00037835792659856227,0.00870223231176693,0.0,0.0,0.09102210691313982,0.01616128857899573,0.0,0.0,0.0,0.0,0.032538781687476356,0.03924112210150802,0.02772823090643749,0.34225177017458536,0.026863412788497923,0.015728879520025944,0.036970974541916654,0.0571320469163829,0.004702448516296417,0.0,0.0,0.02010702124209502,0.030701043186854765,0.009567050429706504,0.0032971190746446137,0.0,0.0,0.17631479379492998,0.015080265931571265,0.007783363061456137,0.0
Equus Total Return Inc ,0.011744608157164209,0.0,0.005124919923126201,0.009822763185991885,0.007473841554559043,0.03566090113175315,0.0,0.0,0.13153961136023917,0.0266922912662823,0.0,0.0,0.01708306641042067,0.0,0.019325218876788383,0.025838137945761265,0.014520606448857571,0.39248345077941493,0.0,0.03448644031603673,0.12374546231048475,0.035127055306427506,0.00661968823403801,0.0028827674567584883,0.0,0.004484304932735426,0.008755071535340594,0.022101217168481742,0.006939995729233397,0.0,0.002775998291693359,0.027012598761477685,0.021887678838351486,0.005872304078582105,0.0
